127.0.0.1 - - [02/Feb/2022:18:21:56 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [02/Feb/2022:18:21:58 +0900] "GET /Project_1/test_1.jsp HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [02/Feb/2022:18:21:58 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [02/Feb/2022:18:22:02 +0900] "GET /Project_1/test_login.jsp HTTP/1.1" 200 614
0:0:0:0:0:0:0:1 - - [02/Feb/2022:18:22:13 +0900] "GET /Project_1/test_signup.jsp HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [02/Feb/2022:18:23:07 +0900] "GET /Project_1/test_login.jsp HTTP/1.1" 200 614
0:0:0:0:0:0:0:1 - - [02/Feb/2022:18:23:13 +0900] "GET /Project_1/test_signup.jsp HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [02/Feb/2022:18:23:19 +0900] "GET /Project_1/test_login.jsp HTTP/1.1" 200 614
0:0:0:0:0:0:0:1 - - [02/Feb/2022:18:23:45 +0900] "GET /Project_1/test_login.jsp HTTP/1.1" 200 614
0:0:0:0:0:0:0:1 - - [02/Feb/2022:18:50:42 +0900] "GET /Project_1/test_signup.jsp HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [02/Feb/2022:18:51:12 +0900] "GET /Project_1/test_login.jsp HTTP/1.1" 200 614
